"Commodities","Derived.ClassificationType","string"
"Commodities","Attributes.SubProduct","string"
"Commodities","Attributes.OtherSubProduct","string"
"Commodities","Header.UseCase","string"
"Commodities","Attributes.OtherBaseProduct","string"
"Commodities","Attributes.UnderlyingAssetType","string"
"Commodities","Attributes.NotionalCurrency","string"
"Commodities","Derived.AdditionalSubProduct","string"
"Commodities","Derived.PriceMultiplier","integer"
"Commodities","Header.Level","string"
"Commodities","Header.AssetClass","string"
"Commodities","ISIN.Parent","string"
"Commodities","Derived.CommodityDerivativeIndicator","string"
"Commodities","Derived.UnderlyingAssetType","string"
"Commodities","Attributes.BaseProduct","string"
"Commodities","Attributes.UnderlyingInstrumentIndex","array"
"Commodities","TemplateVersion.TemplateVersion","integer"
"Commodities","Attributes.ReferenceRate","string"
"Commodities","Attributes.ExpiryDate","string"
"Commodities","Attributes.OtherReferenceRate","string"
"Commodities","ISIN.Status","string"
"Commodities","Derived.BaseProduct","string"
"Commodities","Attributes.OtherAdditionalSubProduct","string"
"Commodities","Derived.IssuerorOperatoroftheTradingVenueIdentifier","string"
"Commodities","Attributes.OptionType","string"
"Commodities","Attributes.OptionExerciseStyle","string"
"Commodities","Attributes.DeliveryType","string"
"Commodities","Derived.SubProduct","string"
"Commodities","Attributes.ValuationMethodorTrigger","string"
"Commodities","Attributes.UnderlyingInstrumentISIN","string"
"Commodities","Header.InstrumentType","string"
"Commodities","Attributes.ReturnorPayoutTrigger","string"
"Commodities","Derived.FullName","string"
"Commodities","Attributes.TransactionType","string"
"Commodities","ISIN.ISIN","string"
"Commodities","Attributes.FinalPriceType","string"
"Commodities","Derived.ShortName","string"
"Commodities","Attributes.AdditionalSubProduct","string"
"Credit","Derived.ClassificationType","string"
"Credit","Attributes.UnderlyingInstrumentIndexTermUnit","string"
"Credit","Header.UseCase","string"
"Credit","Attributes.NotionalCurrency","string"
"Credit","Derived.UnderlyingIssuerType","string"
"Credit","Derived.PriceMultiplier","integer"
"Credit","Header.Level","string"
"Credit","Header.AssetClass","string"
"Credit","ISIN.Parent","string"
"Credit","Derived.CommodityDerivativeIndicator","string"
"Credit","Derived.UnderlyingAssetType","string"
"Credit","Attributes.UnderlyingInstrumentIndex","string"
"Credit","TemplateVersion.TemplateVersion","integer"
"Credit","Attributes.DebtSeniority","string"
"Credit","Attributes.ExpiryDate","string"
"Credit","ISIN.Status","string"
"Credit","Attributes.UnderlyingInstrumentIndexTermValue","integer"
"Credit","Derived.IssuerorOperatoroftheTradingVenueIdentifier","string"
"Credit","Attributes.UnderlyingInstrumentISINorIssuerLEI","string"
"Credit","Derived.NotionalCurrency","string"
"Credit","Attributes.OptionType","string"
"Credit","Attributes.OptionExerciseStyle","string"
"Credit","Attributes.UnderlyingCreditIndexVersion","integer"
"Credit","Attributes.UnderlyingInstrumentISIN","string"
"Credit","Attributes.ValuationMethodorTrigger","string"
"Credit","Attributes.UnderlyingCreditIndexSeries","integer"
"Credit","Header.InstrumentType","string"
"Credit","Attributes.UnderlyingInstrumentLEI","string"
"Credit","Derived.ReturnorPayoutTrigger","string"
"Credit","Derived.ISOUnderlyingInstrumentIndex","string"
"Credit","Derived.DeliveryType","string"
"Credit","Derived.FullName","string"
"Credit","ISIN.ISIN","string"
"Credit","Derived.ShortName","string"
"Equity","Derived.ClassificationType","string"
"Equity","Header.UseCase","string"
"Equity","Attributes.NotionalCurrency","string"
"Equity","Derived.PriceMultiplier","integer"
"Equity","Header.Level","string"
"Equity","Header.AssetClass","string"
"Equity","ISIN.Parent","string"
"Equity","Derived.CommodityDerivativeIndicator","string"
"Equity","Derived.UnderlyingAssetType","string"
"Equity","TemplateVersion.TemplateVersion","integer"
"Equity","Attributes.ExpiryDate","string"
"Equity","ISIN.Status","string"
"Equity","Derived.IssuerorOperatoroftheTradingVenueIdentifier","string"
"Equity","Attributes.OptionType","string"
"Equity","Attributes.OptionExerciseStyle","string"
"Equity","Attributes.DeliveryType","string"
"Equity","Attributes.UnderlyingInstrumentISIN","string"
"Equity","Attributes.ValuationMethodorTrigger","string"
"Equity","Header.InstrumentType","string"
"Equity","Derived.ReturnorPayoutTrigger","string"
"Equity","Attributes.ReturnorPayoutTrigger","string"
"Equity","Derived.DeliveryType","string"
"Equity","Derived.FullName","string"
"Equity","ISIN.ISIN","string"
"Equity","Derived.ShortName","string"
"Foreign_Exchange","Derived.ClassificationType","string"
"Foreign_Exchange","Header.UseCase","string"
"Foreign_Exchange","Attributes.NotionalCurrency","string"
"Foreign_Exchange","Attributes.SettlementCurrency","string"
"Foreign_Exchange","Derived.PriceMultiplier","integer"
"Foreign_Exchange","Attributes.OtherNotionalCurrency","string"
"Foreign_Exchange","Derived.FXType","string"
"Foreign_Exchange","Header.Level","string"
"Foreign_Exchange","Header.AssetClass","string"
"Foreign_Exchange","ISIN.Parent","string"
"Foreign_Exchange","Derived.CommodityDerivativeIndicator","string"
"Foreign_Exchange","Derived.UnderlyingAssetType","string"
"Foreign_Exchange","TemplateVersion.TemplateVersion","integer"
"Foreign_Exchange","Attributes.ExpiryDate","string"
"Foreign_Exchange","ISIN.Status","string"
"Foreign_Exchange","Derived.IssuerorOperatoroftheTradingVenueIdentifier","string"
"Foreign_Exchange","Derived.ValuationMethodorTrigger","string"
"Foreign_Exchange","Attributes.OptionType","string"
"Foreign_Exchange","Attributes.OptionExerciseStyle","string"
"Foreign_Exchange","Attributes.DeliveryType","string"
"Foreign_Exchange","Attributes.ValuationMethodorTrigger","string"
"Foreign_Exchange","Header.InstrumentType","string"
